NAME,SEX,DOB,AGE,HEIGHT,WEIGHT,BMI,AVATAR,AVATAR_ID,REGION
A-Lin,Female,1983-9-20,37.0,1.68,49.0,17.36,https://image.ijq.tv/201610/12/15-49-23-43-34.jpg,15-49-23-43-34.jpg,Taiwan
Angelababy,Female,1989-02-28,31.0,1.6,45.0,17.58,https://image.ijq.tv/201608/09/17-45-52-27-26.jpg,17-45-52-27-26.jpg,ChinaMainland
Cindy,Female,2000-2-6,20.0,1.58,50.0,20.03,https://image.ijq.tv/201909/25/14-13-18-14-47.png,14-13-18-14-47.png,ChinaMainland
Joe Chaw,Male,2008-8-21,12.0,1.5,23.0,10.22,https://image.ijq.tv/201507/23/11-25-37-12-12.jpg,11-25-37-12-12.jpg,Taiwan
Jony J,Male,1989-12-28,31.0,1.78,65.0,20.52,https://image.ijq.tv/201912/23/16-25-20-51-46.jpg,16-25-20-51-46.jpg,ChinaMainland
Lisa Selesner,Female,1978-5-26,42.0,1.74,100.0,33.03,https://image.ijq.tv/202004/17/18-12-23-10-1.png,18-12-23-10-1.png,US
O.J.梅奥,Male,1987-11-5,33.0,1.96,95.0,24.73,https://image.ijq.tv/202007/15/20-54-01-22-68.png,20-54-01-22-68.png,US
Rain,Male,1982-6-25,38.0,1.84,74.0,21.86,https://image.ijq.tv/201501/06/15-26-28-95-10.jpg,15-26-28-95-10.jpg,Korea
Yamy,Female,1991-10-7,29.0,1.68,45.0,15.94,https://image.ijq.tv/201909/29/10-16-36-39-47.png,10-16-36-39-47.png,ChinaMainland
Yamy,Female,1991-10-7,29.0,1.68,45.0,15.94,https://image.ijq.tv/201909/29/10-16-36-39-47.png,10-16-36-39-47.png,ChinaMainland
Yif,Male,1987-3-13,33.0,1.78,53.0,16.73,https://www.ijq.tv/file/upload/201409/19/11-45-06-57-12.jpg,11-45-06-57-12.jpg,ChinaMainland
feynman,Male,2008-9-27,12.0,1.5,32.0,14.22,https://image.ijq.tv/201507/21/14-05-29-95-12.jpg,14-05-29-95-12.jpg,HongKong
katy  Perry,Female,1984-10-25,36.0,1.73,52.0,17.37,https://www.ijq.tv/file/upload/202007/30/10-15-34-77-68.png,10-15-34-77-68.png,US
mike 隋,Male,1985-7-4,35.0,1.91,80.0,21.93,https://image.ijq.tv/201607/18/15-21-02-62-25.png,15-21-02-62-25.png,US
papi酱,Female,1987-2-17,33.0,1.65,45.0,16.53,https://image.ijq.tv/201607/09/09-37-57-20-29.jpg,09-37-57-20-29.jpg,ChinaMainland
㬢璐,Female,1991-2-20,29.0,1.71,46.0,15.73,https://image.ijq.tv/201912/20/17-08-39-90-47.png,17-08-39-90-47.png,ChinaMainland
丁一,Male,1988-12-22,32.0,1.88,75.0,21.22,https://image.ijq.tv/201711/18/11-55-28-17-10.jpg,11-55-28-17-10.jpg,ChinaMainland
丁一一,Female,1998,23.0,1.64,43.0,15.99,https://image.ijq.tv/201708/11/15-10-03-45-19.jpg,15-10-03-45-19.jpg,ChinaMainland
丁一宇,Male,1987-9-9,33.0,1.84,63.0,18.61,https://image.ijq.tv/201505/16/11-26-58-17-13.jpg,11-26-58-17-13.jpg,Korea
丁丁,Female,1987-1-19,33.0,1.65,51.0,18.73,https://image.ijq.tv/201509/21/15-25-17-24-12.jpg,15-25-17-24-12.jpg,ChinaMainland
丁冠森,Male,1993-6-11,27.0,1.8,63.0,19.44,https://image.ijq.tv/201707/28/17-07-15-81-19.jpg,17-07-15-81-19.jpg,ChinaMainland
丁勇岱,Male,1958-10-27,62.0,1.78,78.0,24.62,https://image.ijq.tv/201501/31/11-12-15-34-10.jpg,11-12-15-34-10.jpg,ChinaMainland
