中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path
韩秀一,,,汉族,内地,,辽宁省,183CM,67KG,,,上海师范大学谢晋影视艺术学院,演员,天津嘉会娱乐经纪有限公司,韩秀一的新浪微博,《双面胶》《商鞅》《于无声处》《呼吁》《橙红年代》,陈伟霆,https://www.ijq.tv/file/upload/202103/28/13-58-34-95-66.png,images/13-58-34-95-66.png
池忠国,Chi Zhongguo,,朝鲜族,内地,1989-10-26,吉林省延边州,174CM,62KG,,,,运动员,北京中赫国安足球俱乐部,,,丹尼尔·奇马·楚库,https://www.ijq.tv/file/upload/202012/26/17-15-24-49-68.png,images/17-15-24-49-68.png
刘殿座,Liu Dianzuo,,汉族,内地,1990-6-26,辽宁省大连市,190CM,83KG,,,,运动员,广州恒大淘宝足球俱乐部,刘殿座的新浪微博,,朱宝杰,https://www.ijq.tv/file/upload/202012/26/16-30-32-15-68.png,images/16-30-32-15-68.png
董学升,Dong Xuesheng,,汉族,内地,1989-5-22,辽宁省大连市,188CM,82KG,,,,运动员,武汉卓尔足球俱乐部,,,陈雷,https://www.ijq.tv/file/upload/202012/24/18-17-50-72-68.png,images/18-17-50-72-68.png
梅方,Mei Fang,,汉族,内地,1989-11-14,湖北省武汉市,184CM,74KG,,天蝎座,武汉俱乐部的U19梯队,运动员,广州恒大淘宝足球俱乐部,,,里皮,https://www.ijq.tv/file/upload/202012/24/17-19-08-61-68.png,images/17-19-08-61-68.png
韩端,Han duan,黑珍珠,汉族,内地,1983-6-15,辽宁大连,170CM,60KG,O型,双子座,,运动员,,韩端的新浪微博,,商瑞华,https://www.ijq.tv/file/upload/202012/23/22-44-44-17-68.png,images/22-44-44-17-68.png
王燊超,Wang Shenchao,,汉族,内地,1989-2-8,上海市,180CM,72KG,,,根宝足球基地,运动员,上海上港足球俱乐部,王燊超的新浪微博,,何莹文,https://www.ijq.tv/file/upload/202012/21/10-49-22-37-68.png,images/10-49-22-37-68.png
汪嵩,Wang Song,"嵩哥,射门机器",汉族,内地,1983-10-12,贵州省贵阳市,180CM,78KG,,,,运动员,四川九牛优必选足球俱乐部,汪嵩的新浪微博,,黎兵,https://www.ijq.tv/file/upload/202012/21/10-11-27-26-68.png,images/10-11-27-26-68.png
张恩华,Zhang Enhua,黑子,汉族,内地,1973-4-28,辽宁省大连市,182CM,80KG,,,,运动员,深圳佳兆业足球俱乐部,张恩华的新浪微博,,米卢蒂诺维奇,https://www.ijq.tv/file/upload/202012/18/18-02-56-36-68.png,images/18-02-56-36-68.png
彭伟国,,"国仔,阿国",汉族,内地,1970-8-10,中国广东广州,172CM,68KG,,,,运动员,广州太阳神队,彭伟国的新浪微博,,彭伟军,https://www.ijq.tv/file/upload/202012/17/17-52-56-36-68.png,images/17-52-56-36-68.png
朱广沪,Zhu Guanghu,,汉族,内地,1949-9-25,上海,176CM,70KG,,,,运动员,中国国家男子足球队,,,李毅,https://www.ijq.tv/file/upload/202012/17/17-07-03-94-68.png,images/17-07-03-94-68.png
