中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,代表作,相关明星,image_url,image_path,name,page_url,avatar_url,微博
刘禹,,,汉族,内地,1980-10-11,上海,180CM,65KG,A型,金牛座,上海戏剧学院,演员,,《错伏》《最后一颗子弹等》,,https://image.ijq.tv/201503/10/16-43-43-33-13.jpg,images/16-43-43-33-13.jpg,刘禹,https://www.ijq.tv/mingxing/1451.html,https://image.ijq.tv/201503/10/16-43-43-33-13.jpg,
银雪,,,汉族,内地,9-5,重庆,170CM,48KG,A型,处女座,四川省舞蹈学校、中央戏剧学院,"演员,模特",新丽文化经纪公司,《穷追不舍》,侯梦莎,https://image.ijq.tv/201503/10/16-26-00-96-13.jpg,images/16-26-00-96-13.jpg,银雪,https://www.ijq.tv/mingxing/1449.html,https://image.ijq.tv/201503/10/16-26-00-96-13.jpg,
罗震环,Kimiko,,汉族,内地,1988-10-28,四川省泸州市叙永县,164CM,44KG,A型,白羊座,成都大学艺术学院影视表演专业,"演员,歌手",成都亿豆音乐文化发展有限公司,《锦绣缘华丽冒险》,,https://image.ijq.tv/201503/10/16-26-12-33-12.jpg,images/16-26-12-33-12.jpg,罗震环,https://www.ijq.tv/mingxing/1450.html,https://image.ijq.tv/201503/10/16-26-12-33-12.jpg,
姜彤,,,汉族,内地,1961-12-03,北京,181CM,72KG,B型,白羊座,,演员,北京新月明天文化传媒有限公司,《茧镇奇缘》《绝命追踪》,,https://image.ijq.tv/201503/10/16-08-18-31-13.jpg,images/16-08-18-31-13.jpg,姜彤,https://www.ijq.tv/mingxing/1447.html,https://image.ijq.tv/201503/10/16-08-18-31-13.jpg,
钱枫,Oscar,"鸵鸟王子,小白,鸵鸟钱,大头",汉族,内地,1983-9-22,中国上海,180CM,70KG,O型,处女座,上海戏剧学院,"演员,主持人",,《旋风十一人》《把爱带回家》,赵立新 徐帆,https://image.ijq.tv/201802/06/14-32-19-36-39.jpg,images/14-32-19-36-39.jpg,钱枫,https://www.ijq.tv/mingxing/1448.html,https://image.ijq.tv/201802/06/14-32-19-36-39.jpg,钱枫的新浪微博
春夏,,,汉族,内地,1992-12-5,云南昆明,168CM,45KG,A型,射手座,,"演员,模特",响巢国际,《我心灿烂》《我的博士老公》《踏血寻梅 》,郭富城,https://image.ijq.tv/201503/10/15-52-24-71-13.jpg,images/15-52-24-71-13.jpg,春夏,https://www.ijq.tv/mingxing/1446.html,https://image.ijq.tv/201503/10/15-52-24-71-13.jpg,春夏的新浪微博
刘忻,Moraynia,"刘瑀,小鬼",汉族,内地,1984-6-8,黑龙江省哈尔滨市,168CM,45KG,O型,双子座,沈阳音乐学院,"演员,歌手",天娱传媒有限公司,《我是你的女朋友》《花花世界》《残忍的缠绵》,好友孙坚 搭档付辛博,https://image.ijq.tv/201503/10/15-38-58-33-10.jpg,images/15-38-58-33-10.jpg,刘忻,https://www.ijq.tv/mingxing/1445.html,https://image.ijq.tv/201503/10/15-38-58-33-10.jpg,刘忻的新浪微博
邢罗丹,Xing Luodan,,汉族,内地,1988-6-14,黑龙江省哈尔滨市,,68KG,O型,双子座,中央戏剧学院08表演系本科2班,演员,,《大清盐商》《蜀山战纪之剑侠传奇》《东北抗日联军》,,https://image.ijq.tv/201503/10/14-07-06-77-14.jpg,images/14-07-06-77-14.jpg,邢罗丹,https://www.ijq.tv/mingxing/1443.html,https://image.ijq.tv/201503/10/14-07-06-77-14.jpg,
余玥,Yilia,小玥,汉族,内地,1991-9-28,四川省成都市,163CM,45KG,B型,天秤座,北京电影学院,演员,稻草熊影视,《格格要出嫁》《飞刀又见飞刀》《蜀山战纪之剑侠传奇》,杨紫,https://image.ijq.tv/201612/01/10-29-42-40-26.jpg,images/10-29-42-40-26.jpg,余玥,https://www.ijq.tv/mingxing/1442.html,https://image.ijq.tv/201612/01/10-29-42-40-26.jpg,余玥的新浪微博
谢彬彬,Since,"谢承勋,丞勋,彬彬,帅彬彬,长腿彬",汉族,内地,1995-12-20,温州市,188CM,74KG,B型,射手座,北京电影学院,"演员,歌手",天娱传媒,《唱战记》《相爱穿梭千年》《不一样的美男子2》,周雨彤,https://image.ijq.tv/201503/10/11-54-26-91-8.jpg,images/11-54-26-91-8.jpg,谢彬彬,https://www.ijq.tv/mingxing/1441.html,https://image.ijq.tv/201503/10/11-54-26-91-8.jpg,谢彬彬的新浪微博
李昕亮,Rise,亮亮,汉族,内地,1985-10-27,西安,181CM,66KG,O型,天蝎座,上海戏剧学院,"演员,主持人",光线传媒,《别让我看见》《大女遭遇怪爸爸》,,https://image.ijq.tv/201503/10/11-30-15-41-7.jpg,images/11-30-15-41-7.jpg,李昕亮,https://www.ijq.tv/mingxing/1440.html,https://image.ijq.tv/201503/10/11-30-15-41-7.jpg,李昕亮的新浪微博
