中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path,name,page_url,avatar_url
沈航,,,汉族,内地,1993-7-25,,181CM,63KG,,狮子座,中央戏剧学院,演员,星橙时代,沈航的新浪微博,,,https://image.ijq.tv/201910/30/14-31-41-86-47.jpg,images/14-31-41-86-47.jpg,沈航,https://www.ijq.tv/mingxing/15724170626855.html,https://image.ijq.tv/201910/30/14-31-41-86-47.jpg
李绮雯,LEE Yee Man,o靓妹,汉族,内地,1984-10-18,香港,165CM,43KG,,天秤座,保良局庄启程预科书院,演员,TVB,李绮雯的新浪微博,《师奶MADAM》《叛逃》《恋爱季节》《末代御医》,郭晋安 杨怡 敖嘉年 贾晓晨,https://image.ijq.tv/201910/30/11-39-00-71-47.png,images/11-39-00-71-47.png,李绮雯,https://www.ijq.tv/mingxing/15724044046853.html,https://image.ijq.tv/201910/30/11-39-00-71-47.png
敖嘉年,Ka Nin Ngo,Ngonin,汉族,内地,1976-9-26,香港,176CM,63KG,O型,天秤座,,"演员,歌手,主持人",TVB|Freebase Media (Hong Kong),敖嘉年的新浪微博,《巾帼枭雄》《巾帼枭雄之义海豪情》《末代御医》,冼灏英 郭晋安 杨怡,https://image.ijq.tv/201910/30/10-42-32-90-47.png,images/10-42-32-90-47.png,敖嘉年,https://www.ijq.tv/mingxing/15724033166852.html,https://image.ijq.tv/201910/30/10-42-32-90-47.png
于潼,,于丹,汉族,内地,,牡丹江,170CM,46KG,,魔羯座,沈阳师范大学,演员,,于潼的新浪微博,《招摇》《热血勇士》《往事云烟》《一见不倾心》,张晞临 李乃文 叶静 胡丹丹,https://image.ijq.tv/201910/30/09-53-04-66-47.png,images/09-53-04-66-47.png,于潼,https://www.ijq.tv/mingxing/15724003586850.html,https://image.ijq.tv/201910/30/09-53-04-66-47.png
杨泽,,,汉族,内地,1995-12-26,重庆,181CM,63KG,,魔羯座,,演员,,杨泽的新浪微博,《招摇》《看见味道的你》,龚俊 宋伊人,https://image.ijq.tv/201910/29/17-51-51-40-47.png,images/17-51-51-40-47.png,杨泽,https://www.ijq.tv/mingxing/15723426786849.html,https://image.ijq.tv/201910/29/17-51-51-40-47.png
于非,,,汉族,内地,12-6,济南,180CM,65KG,,射手座,中央戏剧学院,演员,,于非的新浪微博,《迷失的情感》《钢的琴》《战火四千金》《家的相对论》《反黑使命2》,王挺 唐曾 童苡萱 魏震,https://image.ijq.tv/201910/29/17-30-28-47-47.png,images/17-30-28-47-47.png,于非,https://www.ijq.tv/mingxing/15723414086848.html,https://image.ijq.tv/201910/29/17-30-28-47-47.png
张竞达,,,汉族,内地,1979-9-11,山东省滨州市沾化县,179CM,76KG,,处女座,广东亚视演艺职业学院电视演艺系,演员,,张竞达的新浪微博,《血债血偿》《往日情怀》《一个鬼子都不留》,王挺 唐曾 童苡萱 魏震,https://image.ijq.tv/201910/29/16-34-10-78-47.png,images/16-34-10-78-47.png,张竞达,https://www.ijq.tv/mingxing/15723379646847.html,https://image.ijq.tv/201910/29/16-34-10-78-47.png
柳珊,,"珊珊,珊仔,珊宝宝",汉族,内地,11-22,,164CM,44KG,,射手座,上海师范大学谢晋影视学院,演员,上海泓霆影业,柳珊的新浪微博,《两个人的战争》《求婚大作战》《妈妈我爱你》《柠檬初上》,郭贝贝 李帅昌,https://image.ijq.tv/201910/29/15-10-43-16-47.png,images/15-10-43-16-47.png,柳珊,https://www.ijq.tv/mingxing/15723330176844.html,https://image.ijq.tv/201910/29/15-10-43-16-47.png
孙倩妮,Linda,,汉族,内地,2005-12-9,,,,,射手座,,演员,,孙倩妮的新浪微博,《背后的故事》《偶像剧女王》,,https://image.ijq.tv/201910/29/14-36-55-14-47.png,images/14-36-55-14-47.png,孙倩妮,https://www.ijq.tv/mingxing/15723309906843.html,https://image.ijq.tv/201910/29/14-36-55-14-47.png
高婷婷,Gao Tingting,高玺颜,汉族,内地,1981-7-18,黑龙江,169CM,50KG,B型,巨蟹座,,演员,,高婷婷的新浪微博,《警中警2》《警中英雄》《同龄人》《大营救》《柠檬初上》,孙艺洲 张杨果而 康宁 朱泳腾,https://image.ijq.tv/201910/29/11-50-43-94-47.png,images/11-50-43-94-47.png,高婷婷,https://www.ijq.tv/mingxing/15723210246842.html,https://image.ijq.tv/201910/29/11-50-43-94-47.png
